id,malId,snapshotDate,rank,popularity,score,scoredBy,members,favorites,etlRunId,genres,title
94,2921,2025-08-21,45,3031,8.76,24349,63034,3108,rankings-20250821-210609-0e0a2342,"{Drama,Sports}",Ashita no Joe 2
51,52991,2025-08-21,1,134,9.30,715216,1197689,74548,rankings-20250821-210609-0e0a2342,"{Adventure,Drama,Fantasy}",Sousou no Frieren
52,5114,2025-08-21,2,3,9.10,2240602,3562063,235892,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Drama,Fantasy}",Fullmetal Alchemist: Brotherhood
53,9253,2025-08-21,3,14,9.07,1478027,2727003,197622,rankings-20250821-210609-0e0a2342,"{Drama,Sci-Fi,Suspense}",Steins;Gate
54,38524,2025-08-21,4,21,9.05,1719857,2483394,61586,rankings-20250821-210609-0e0a2342,"{Action,Drama,Suspense}",Shingeki no Kyojin Season 3 Part 2
55,28977,2025-08-21,6,343,9.05,265969,674005,17279,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama°
56,39486,2025-08-21,5,1519,9.05,81983,173257,4529,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Drama,Sci-Fi}",Gintama: The Final
57,60022,2025-08-21,7,1983,9.04,90194,123534,2333,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Fantasy}",One Piece Fan Letter
58,11061,2025-08-21,8,8,9.03,1903274,3066102,222922,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Fantasy}",Hunter x Hunter (2011)
59,9969,2025-08-21,10,405,9.02,250967,595837,8464,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama'
60,15417,2025-08-21,11,752,9.02,174984,348761,3134,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama': Enchousen
61,820,2025-08-21,9,750,9.02,84937,348980,17233,rankings-20250821-210609-0e0a2342,"{Drama,Sci-Fi}",Ginga Eiyuu Densetsu
